Dataset\Model,TimesFM
electricity,203.27371215820312
exchange_rate,0.0149427494034171
illness,31049.732421875
traffic,0.0113781420513987
weather,12.737411499023438
bitcoin,
us_births,335.1766662597656
tourism_yearly,12821.4228515625
tourism_quarterly,6373.61083984375
tourism_monthly,3052.191162109375
cif_2016,309141.78125
australian_electricity_demand,558.9642333984375
pedestrian_counts,50.04835891723633
vehicle_trips,11.990461349487305
kdd_cup_2018,22.38125801086425
nn5_daily,5.229851722717285
nn5_weekly,17.950416564941406
solar_10_minutes,6.546572208404541
solar_weekly,1638.044677734375
fred_md,3024.33837890625
traffic_hourly,0.0175472628325223
traffic_weekly,0.8494680523872375
hospital,19.07709693908692
covid_deaths,206.09390258789065
sunspot,30.98139381408692
saugeenday,18.55609893798828
solar_4_seconds,1.3586026430130005
wind_4_seconds,1.211825251579285
oikolab_weather,86.317138671875
